"filename", "language", "HTML", "JavaScript", "SCSS", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\Users\Пользователь\Desktop\site\api\db.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Пользователь\Desktop\site\api\routes\admin.js", "JavaScript", 0, 88, 0, 0, 0, 0, 1, 1, 90
"c:\Users\Пользователь\Desktop\site\api\routes\auth.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 3, 36
"c:\Users\Пользователь\Desktop\site\api\routes\complete-test.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 2, 90
"c:\Users\Пользователь\Desktop\site\api\routes\component.js", "JavaScript", 0, 62, 0, 0, 0, 0, 1, 1, 64
"c:\Users\Пользователь\Desktop\site\api\routes\course.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 53
"c:\Users\Пользователь\Desktop\site\api\routes\detailcourse.js", "JavaScript", 0, 73, 0, 0, 0, 0, 26, 2, 101
"c:\Users\Пользователь\Desktop\site\api\routes\education.js", "JavaScript", 0, 57, 0, 0, 0, 0, 32, 0, 89
"c:\Users\Пользователь\Desktop\site\api\routes\filament.js", "JavaScript", 0, 62, 0, 0, 0, 0, 1, 3, 66
"c:\Users\Пользователь\Desktop\site\api\routes\model.js", "JavaScript", 0, 123, 0, 0, 0, 0, 13, 1, 137
"c:\Users\Пользователь\Desktop\site\api\routes\preview.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Пользователь\Desktop\site\api\routes\printer.js", "JavaScript", 0, 62, 0, 0, 0, 0, 1, 5, 68
"c:\Users\Пользователь\Desktop\site\api\routes\question.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 0, 59
"c:\Users\Пользователь\Desktop\site\api\routes\student.js", "JavaScript", 0, 59, 0, 0, 0, 0, 31, 3, 93
"c:\Users\Пользователь\Desktop\site\api\routes\study.js", "JavaScript", 0, 41, 0, 0, 0, 0, 2, 1, 44
"c:\Users\Пользователь\Desktop\site\api\routes\task.js", "JavaScript", 0, 92, 0, 0, 0, 0, 3, 6, 101
"c:\Users\Пользователь\Desktop\site\api\routes\tasks.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 4, 37
"c:\Users\Пользователь\Desktop\site\api\routes\teacher\teacher.js", "JavaScript", 0, 41, 0, 0, 0, 0, 10, 2, 53
"c:\Users\Пользователь\Desktop\site\api\routes\test.js", "JavaScript", 0, 105, 0, 0, 0, 0, 1, 5, 111
"c:\Users\Пользователь\Desktop\site\api\routes\user.js", "JavaScript", 0, 56, 0, 0, 0, 0, 2, 6, 64
"c:\Users\Пользователь\Desktop\site\package-lock.json", "JSON", 0, 0, 0, 0, 0, 1574, 0, 1, 1575
"c:\Users\Пользователь\Desktop\site\package.json", "JSON", 0, 0, 0, 0, 0, 22, 0, 1, 23
"c:\Users\Пользователь\Desktop\site\public\img\Add.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Пользователь\Desktop\site\public\img\CloseModal.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Пользователь\Desktop\site\public\img\CloseModalWhite.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Пользователь\Desktop\site\public\img\Delete.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Пользователь\Desktop\site\public\img\Edit.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Пользователь\Desktop\site\public\img\Exit.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Пользователь\Desktop\site\public\img\Eye.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\Пользователь\Desktop\site\public\img\PDF.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\Пользователь\Desktop\site\public\js\admin\addUser.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 1, 20
"c:\Users\Пользователь\Desktop\site\public\js\admin\deleteUser.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\Пользователь\Desktop\site\public\js\admin\editUser.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 4, 90
"c:\Users\Пользователь\Desktop\site\public\js\admin\isLoginNew.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Пользователь\Desktop\site\public\js\auth\auth.js", "JavaScript", 0, 49, 0, 0, 0, 0, 6, 2, 57
"c:\Users\Пользователь\Desktop\site\public\js\common\logout.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Пользователь\Desktop\site\public\js\common\modal.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 0, 58
"c:\Users\Пользователь\Desktop\site\public\js\loadEducationInfoToLS.js", "JavaScript", 0, 18, 0, 0, 0, 0, 15, 1, 34
"c:\Users\Пользователь\Desktop\site\public\js\modeling\charts.js", "JavaScript", 0, 177, 0, 0, 0, 0, 0, 7, 184
"c:\Users\Пользователь\Desktop\site\public\js\modeling\dotable.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Пользователь\Desktop\site\public\js\modeling\graph.js", "JavaScript", 0, 99, 0, 0, 0, 0, 1, 8, 108
"c:\Users\Пользователь\Desktop\site\public\js\modeling\mainFunctions.js", "JavaScript", 0, 260, 0, 0, 0, 0, 24, 28, 312
"c:\Users\Пользователь\Desktop\site\public\js\modeling\math.js", "JavaScript", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\Users\Пользователь\Desktop\site\public\js\modeling\table.js", "JavaScript", 0, 90, 0, 0, 0, 0, 3, 13, 106
"c:\Users\Пользователь\Desktop\site\public\js\teach\addMaterial.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Пользователь\Desktop\site\public\js\teach\app.js", "JavaScript", 0, 18, 0, 0, 0, 0, 16, 2, 36
"c:\Users\Пользователь\Desktop\site\public\js\teach\clickAddEducation.js", "JavaScript", 0, 160, 0, 0, 0, 0, 12, 8, 180
